"Species","Year","Region","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975"
"Hirundinidae1",2011,"BC",2.17247180189935,1.79655190149071,1.87040011007407,2.04077514061499,2.31809391639062,2.557116306511,2.63459890235304
"Hirundinidae1",2012,"BC",2.13183944123612,1.76253424928243,1.81860070607629,1.99697923857332,2.26484824947995,2.48025545795263,2.55665109973168
"Hirundinidae1",2013,"BC",2.1117998273787,1.74776102616014,1.80243418847982,1.97550133766882,2.24707071377722,2.46418415187206,2.54793678033515
"Hirundinidae1",2014,"BC",2.06505845256814,1.70994482752293,1.75803653220102,1.92955046290791,2.20824019161467,2.42557296990763,2.50359085293425
"Hirundinidae1",2015,"BC",1.96091278287241,1.60312018461243,1.65640314274132,1.83562341663691,2.09958971017487,2.30796591385702,2.38905696801485
"Hirundinidae1",2016,"BC",1.90091903968937,1.54149849674047,1.5997511536218,1.76459568808039,2.04206117162655,2.25616672693421,2.33348316055678
"Hirundinidae1",2017,"BC",2.00585828244586,1.61073190838412,1.66669319984542,1.86737414261892,2.16334221972421,2.41800785020775,2.51734169170601
"Hirundinidae1",2018,"BC",2.06393878456156,1.60999128704838,1.68240173578769,1.91007488961464,2.24051034555081,2.50810368636437,2.58793344774919
"Hirundinidae1",2019,"BC",1.93621847737669,1.48421136350698,1.55283686649302,1.77048051868444,2.11078601279418,2.3922583258867,2.50169251715392
"Hirundinidae1",1970,"CA-BC-10",5.8109050548411,3.68749708187857,3.92483565266858,4.91747362064379,6.87963541912445,8.72120992671384,9.47295123703385
"Hirundinidae1",1971,"CA-BC-10",5.920475187673,3.781714557539,4.13276091046922,5.1032403442117,6.81543606103451,8.4767340733008,9.14495467232257
"Hirundinidae1",1972,"CA-BC-10",6.39820367559189,4.1122536636493,4.40826074268772,5.50095765425244,7.37976893926893,9.17342922726768,9.83505882096036
"Hirundinidae1",1973,"CA-BC-10",5.8776845203858,4.13918572484148,4.40470667906115,5.25484086431614,6.5937909732768,7.80539847097753,8.17151363461566
"Hirundinidae1",1974,"CA-BC-10",8.19045018311916,6.02170163404211,6.29418060029691,7.36339262140184,9.16248933992855,10.7804584326386,11.3617773654231
"Hirundinidae1",1975,"CA-BC-10",7.8290602326677,5.85930131536402,6.18235483605934,7.14278594182522,8.67833916128201,10.0257219585706,10.5663068372827
"Hirundinidae1",1976,"CA-BC-10",5.87946300669968,4.12473622018638,4.38691686798388,5.22316125348121,6.61356031982872,7.84010264451374,8.24045124814402
"Hirundinidae1",1977,"CA-BC-10",8.60320282825081,6.30833832234751,6.62441266924798,7.72169937458516,9.58725299980002,11.2660517182741,11.8974861379512
"Hirundinidae1",1978,"CA-BC-10",9.19680726450693,6.92878141581178,7.21073377891535,8.31045968343559,10.1524903229623,11.8402248367914,12.3789422364216
"Hirundinidae1",1979,"CA-BC-10",8.39295460455552,6.07564684844974,6.46505393528756,7.56956028044887,9.34606950206993,10.8886090716417,11.4624962250365
"Hirundinidae1",1980,"CA-BC-10",12.6164940633927,9.33569669139652,9.80631136900409,11.3415302542157,14.0702088349609,16.5239767098352,17.4648808892349
